"Category ID";"Active (0/1)";"Name*";"Parent category";"Root category (0/1)";"Description";"Meta title";"Meta keywords";"Meta description";"URL rewritten";"Image URL"
"1716";"1";"Slome  Japie";"NEDERLANDSTALIG  A-Z";"0";;"Slome  Japie  (Valkhof)";"Slome  Japie";"Slome  Japie";"slome-japie";
"1717";"1";"Bolero s  De";"NEDERLANDSTALIG  A-Z";"0";;"Bolero s  De";"Bolero s  De";"Bolero s  De";"bolero-s-de";
"1718";"1";"REMEMBER";"NEDERLANDSTALIG  A-Z";"0";;"REMEMBER";"REMEMBER";"REMEMBER";"remember";
"1719";"1";"Martens  Michel";"NEDERLANDSTALIG  A-Z";"0";;"Martens  Michel";"Martens  Michel";"Martens  Michel";"martens-michel";
"1720";"1";"ANGELIQUE";"NEDERLANDSTALIG  A-Z";"0";;"ANGELIQUE";"ANGELIQUE";"ANGELIQUE";"angelique";
"1721";"1";"Eissing  Johnny";"NEDERLANDSTALIG  A-Z";"0";;"Eissing  Johnny";"Eissing  Johnny";"Eissing  Johnny";"eissing-johnny";
"1722";"1";"List  Liesbeth";"NEDERLANDSTALIG  A-Z";"0";;"List  Liesbeth";"List  Liesbeth";"List  Liesbeth";"list-liesbeth";
"1723";"1";"MARCHA";"NEDERLANDSTALIG  A-Z";"0";;"MARCHA";"MARCHA";"MARCHA";"marcha";
"1724";"1";"Heidecombo  Het";"NEDERLANDSTALIG  A-Z";"0";;"Heidecombo  Het";"Heidecombo  Het";"Heidecombo  Het";"heidecombo-het";
"1725";"1";"Terra  John";"NEDERLANDSTALIG  A-Z";"0";;"Terra  John";"Terra  John";"Terra  John";"terra-john";
"1726";"1";"Melvin  Mike";"NEDERLANDSTALIG  A-Z";"0";;"Melvin  Mike";"Melvin  Mike";"Melvin  Mike";"melvin-mike";
"1727";"1";"Civilians  De";"NEDERLANDSTALIG  A-Z";"0";;"Civilians  De";"Civilians  De";"Civilians  De";"civilians-de";
