"Category ID";"Active (0/1)";"Name*";"Parent category";"Root category (0/1)";"Description";"Meta title";"Meta keywords";"Meta description";"URL rewritten";"Image URL"
"2050";"1";"DE DORPSGASTEN ";"Artiest";"0";"DE DORPSGASTEN ";"DE DORPSGASTEN ";"DE DORPSGASTEN ";"DE DORPSGASTEN ";"de-dorpsgasten";
"2051";"1";"DE TOENDRA S";"Artiest";"0";"DE TOENDRA S";"DE TOENDRA S";"DE TOENDRA S";"DE TOENDRA S";"de-toendra-s";
"2052";"1";"OLGA LOWINA ";"Artiest";"0";"OLGA LOWINA ";"OLGA LOWINA ";"OLGA LOWINA ";"OLGA LOWINA ";"olga-lowina";
"2053";"1";"FREDDY CASBY TELSTAR TS4349";"Artiest";"0";"FREDDY CASBY TELSTAR TS4349";"FREDDY CASBY TELSTAR TS4349";"FREDDY CASBY TELSTAR TS4349";"FREDDY CASBY TELSTAR TS4349";"freddy-casby-telstar-ts4349";
"2054";"1";"HARM WIERSTRA TELSTAR 2659";"Artiest";"0";"HARM WIERSTRA TELSTAR 2659";"HARM WIERSTRA TELSTAR 2659";"HARM WIERSTRA TELSTAR 2659";"HARM WIERSTRA TELSTAR 2659";"harm-wierstra-telstar-2659";
"2055";"1";"HET LANDGRAAF DUO";"Artiest";"0";"HET LANDGRAAF DUO";"HET LANDGRAAF DUO";"HET LANDGRAAF DUO";"HET LANDGRAAF DUO";"het-landgraaf-duo";
"2056";"1";"BOB VRIELING TELSTAR 2643";"Artiest";"0";"BOB VRIELING TELSTAR 2643";"BOB VRIELING TELSTAR 2643";"BOB VRIELING TELSTAR 2643";"BOB VRIELING TELSTAR 2643";"bob-vrieling-telstar-2643";
"2057";"1";"THE NEW FOUR";"Artiest";"0";"THE NEW FOUR";"THE NEW FOUR";"THE NEW FOUR";"THE NEW FOUR";"the-new-four";
"2058";"1";"LENI UND LUDWIG TELSTAR 4675";"Artiest";"0";"LENI UND LUDWIG TELSTAR 4675";"LENI UND LUDWIG TELSTAR 4675";"LENI UND LUDWIG TELSTAR 4675";"LENI UND LUDWIG TELSTAR 4675";"leni-und-ludwig-telstar-4675";
"2059";"1";"Artiest HELMA SELMA";"Artiest";"0";"Artiest HELMA SELMA";"Artiest HELMA SELMA";"Artiest HELMA SELMA";"Artiest HELMA SELMA";"artiest-helmaselma";
"2060";"1";"HOMMY EN EMMY TELSTAR4397";"Artiest";"0";"HOMMY EN EMMY TELSTAR4397";"HOMMY EN EMMY TELSTAR4397";"HOMMY EN EMMY TELSTAR4397";"HOMMY EN EMMY TELSTAR4397";"hommy-en-emmy-telstar4397";
"2061";"1";"AD VAN HOORN TELSTAR 4319";"Artiest";"0";"AD VAN HOORN TELSTAR 4319";"AD VAN HOORN TELSTAR 4319";"AD VAN HOORN TELSTAR 4319";"AD VAN HOORN TELSTAR 4319";"ad-van-hoorn-telstar-4319";
"2062";"1";"JUKEBOX JOHNNY TELSTAR1012";"Artiest";"0";"JUKEBOX JOHNNY TELSTAR1012";"JUKEBOX JOHNNY TELSTAR1012";"JUKEBOX JOHNNY TELSTAR1012";"JUKEBOX JOHNNY TELSTAR1012";"jukebox-johnny-telstar1012";
"2063";"1";"DE MIKAS TELSTAR4125";"Artiest";"0";"DE MIKAS TELSTAR4125";"DE MIKAS TELSTAR4125";"DE MIKAS TELSTAR4125";"DE MIKAS TELSTAR4125";"de-mikas-telstar4125";
"2064";"1";"OLGA LOWINA TELSTAR 1013";"Artiest";"0";"OLGA LOWINA TELSTAR 1013";"OLGA LOWINA TELSTAR 1013";"OLGA LOWINA TELSTAR 1013";"OLGA LOWINA TELSTAR 1013";"olga-lowina-telstar-1013";
"2065";"1";"Artiest BETSY en JO ";"Artiest";"0";"Artiest BETSY en JO ";"Artiest BETSY en JO ";"Artiest BETSY en JO ";"Artiest BETSY en JO ";"artiest-betsy-en-jo";
"2066";"1";"DE MIKA S TELSTAR4379";"Artiest";"0";"DE MIKA S TELSTAR4379";"DE MIKA S TELSTAR4379";"DE MIKA S TELSTAR4379";"DE MIKA S TELSTAR4379";"de-mika-s-telstar4379";
"2067";"1";"DE HEIKREKELS TELSTAR 1812";"Artiest";"0";"DE HEIKREKELS TELSTAR 1812";"DE HEIKREKELS TELSTAR 1812";"DE HEIKREKELS TELSTAR 1812";"DE HEIKREKELS TELSTAR 1812";"de-heikrekels-telstar-1812";
"2068";"1";"LYDIA BEN TELSTAR4385";"Artiest";"0";"LYDIA BEN TELSTAR4385";"LYDIA BEN TELSTAR4385";"LYDIA BEN TELSTAR4385";"LYDIA BEN TELSTAR4385";"lydiaben-telstar4385";
"2069";"1";"DE HEIKREKELS TELSTAR4699";"Artiest";"0";"DE HEIKREKELS TELSTAR4699";"DE HEIKREKELS TELSTAR4699";"DE HEIKREKELS TELSTAR4699";"DE HEIKREKELS TELSTAR4699";"de-heikrekels-telstar4699";
"2070";"1";"GELDERS DUO TELSTAR4432";"Artiest";"0";"GELDERS DUO TELSTAR4432";"GELDERS DUO TELSTAR4432";"GELDERS DUO TELSTAR4432";"GELDERS DUO TELSTAR4432";"gelders-duo-telstar4432";
"2071";"1";"JAN ZWAAN TELSTAR4726";"Artiest";"0";"JAN ZWAAN TELSTAR4726";"JAN ZWAAN TELSTAR4726";"JAN ZWAAN TELSTAR4726";"JAN ZWAAN TELSTAR4726";"janzwaan-telstar4726";
"2072";"1";"Artiest MARC DAVE";"Artiest";"0";"Artiest MARC DAVE";"Artiest MARC DAVE";"Artiest MARC DAVE";"Artiest MARC DAVE";"artiest-marcdave";
"2073";"1";" DE BAMBINO S  JOHNNY ACCORDI";"Artiest";"0";" DE BAMBINO S  JOHNNY ACCORDI";" DE BAMBINO S  JOHNNY ACCORDI";" DE BAMBINO S  JOHNNY ACCORDI";" DE BAMBINO S  JOHNNY ACCORDI";"de-bambino-s-johnny-accordi";
"2074";"1";"SYBIL WIEL";"Artiest";"0";"SYBIL WIEL";"SYBIL WIEL";"SYBIL WIEL";"SYBIL WIEL";"sybil-+-wiel";
"2075";"1";"SYBIL WIEL";"Artiest";"0";"SYBIL WIEL";"SYBIL WIEL";"SYBIL WIEL";"SYBIL WIEL";"sybilwiel";
"2076";"1";"JAN PETAT JOHNNY BLENCO";"Artiest";"0";"JAN PETAT JOHNNY BLENCO";"JAN PETAT JOHNNY BLENCO";"JAN PETAT JOHNNY BLENCO";"JAN PETAT JOHNNY BLENCO";"jan-petat-johnny-blenco";
"2077";"1";"Artiest JANNY";"Artiest";"0";"Artiest JANNY";"Artiest JANNY";"Artiest JANNY";"Artiest JANNY";"artiest-janny";
